ID,longi,lati,spd,Time
494,72.809,33.7299,22.4462,"2018-05-27 15:10:26"
493,72.8088,33.7299,17.6681,"2018-05-27 15:10:22"
492,72.8086,33.7299,17.6681,"2018-05-27 15:10:17"
491,72.8084,33.7299,30.3543,"2018-05-27 15:10:13"
490,72.808,33.73,30.3543,"2018-05-27 15:10:08"
489,72.8078,33.7302,35.2065,"2018-05-27 15:10:04"
488,72.8075,33.7306,35.2065,"2018-05-27 15:09:59"
487,72.8073,33.7309,14.5012,"2018-05-27 15:09:54"
486,72.8069,33.7311,14.5012,"2018-05-27 15:09:51"
485,72.8066,33.7311,14.5012,"2018-05-27 15:09:49"
484,72.8063,33.7311,14.5012,"2018-05-27 15:09:42"
483,72.8062,33.7311,14.5012,"2018-05-27 15:09:35"
482,72.8059,33.731,8.83404,"2018-05-27 15:09:31"
481,72.8057,33.7309,8.83404,"2018-05-27 15:09:25"
480,72.8055,33.7309,20.5757,"2018-05-27 15:09:24"
479,72.8052,33.7308,20.5757,"2018-05-27 15:09:21"
478,72.8049,33.7308,20.5757,"2018-05-27 15:09:14"
477,72.8047,33.731,20.5202,"2018-05-27 15:09:07"
476,72.8046,33.7312,20.5202,"2018-05-27 15:09:02"
475,72.8045,33.7314,32.7434,"2018-05-27 15:08:58"
474,72.8044,33.7318,32.7434,"2018-05-27 15:08:53"
473,72.8044,33.7321,30.1691,"2018-05-27 15:08:52"
472,72.8031,33.7349,55.6711,"2018-05-27 15:08:20"
471,72.8025,33.7354,55.6711,"2018-05-27 15:08:15"
470,72.802,33.7357,37.1141,"2018-05-27 15:08:11"
469,72.8008,33.7363,37.1141,"2018-05-27 15:08:01"
468,72.8005,33.7365,28.7245,"2018-05-27 15:07:57"
467,72.8001,33.7367,28.7245,"2018-05-27 15:07:52"
466,72.7998,33.7368,21.9832,"2018-05-27 15:07:48"
465,72.7996,33.7369,17.9829,"2018-05-27 15:07:44"
464,72.7994,33.7371,17.9829,"2018-05-27 15:07:39"
463,72.7992,33.7371,13.427,"2018-05-27 15:07:34"
462,72.799,33.7371,13.427,"2018-05-27 15:07:31"
461,72.799,33.737,13.427,"2018-05-27 15:07:26"
460,72.7992,33.7369,13.427,"2018-05-27 15:07:21"
459,72.7993,33.7369,14.8345,"2018-05-27 15:07:17"
458,72.7995,33.7367,55.7452,"2018-05-27 15:07:12"
457,72.8007,33.7361,55.7452,"2018-05-27 15:07:03"
456,72.8013,33.7358,63.6347,"2018-05-27 15:06:58"
455,72.8021,33.7354,63.6347,"2018-05-27 15:06:54"
454,72.8027,33.735,65.6349,"2018-05-27 15:06:50"
453,72.8034,33.7345,65.6349,"2018-05-27 15:06:45"
452,72.8038,33.7338,65.6349,"2018-05-27 15:06:40"
451,72.804,33.7331,66.0423,"2018-05-27 15:06:36"
450,72.8042,33.7323,66.0423,"2018-05-27 15:06:31"
449,72.8043,33.7316,55.3192,"2018-05-27 15:06:26"
448,72.8044,33.7309,55.3192,"2018-05-27 15:06:22"
447,72.8046,33.7303,54.3377,"2018-05-27 15:06:19"
446,72.8046,33.7296,54.3377,"2018-05-27 15:06:13"
445,72.8047,33.7291,43.5405,"2018-05-27 15:06:09"
444,72.8047,33.7286,26.7614,"2018-05-27 15:06:05"
443,72.8047,33.7282,26.7614,"2018-05-27 15:06:00"
442,72.8048,33.728,59.9122,"2018-05-27 15:05:55"
441,72.8049,33.7275,59.9122,"2018-05-27 15:05:51"
440,72.805,33.7269,58.9677,"2018-05-27 15:05:47"
439,72.8051,33.7263,69.2833,"2018-05-27 15:05:43"
438,72.8054,33.7245,69.2833,"2018-05-27 15:05:33"
437,72.8055,33.7238,66.5238,"2018-05-27 15:05:29"
436,72.8057,33.723,66.5238,"2018-05-27 15:05:24"
435,72.8058,33.7223,53.1524,"2018-05-27 15:05:20"
